doiId_s;authFullName_s;title_s;subTitle_s;journalTitle_s;publicationDate_s;conferenceTitle_s;conferenceStartDate_s;domain_s;en_keyword_s;fr_keyword_s;uri_s
10.1017/jfm.2019.375;Pierre Augier,Ashwin Vishnu Mohanan,Erik Lindborg;Shallow water wave turbulence;;Journal of Fluid Mechanics;10/09/2019;;;0.phys,1.phys.meca,2.phys.meca.mefl;;;https://hal.archives-ouvertes.fr/hal-02186293
10.5334/jors.237;Pierre Augier,Ashwin Vishnu Mohanan,Cyrille Bonamy;FluidDyn: A Python Open-Source Framework for Research and Teaching in Fluid Dynamics by Simulations\, Experiments and Data Processing;;Journal of Open Research Software;01/04/2019;;;0.phys,1.phys.meca,2.phys.meca.mefl;;;https://hal.archives-ouvertes.fr/hal-02088650
;Mouloud Kessar,Guillaume Balarac,Franck Plunian;Evaluation of turbulence models for Large Eddy Simulations of MHD turbulence;;;11/09/2018;10th European Fluid Mechanics Conference;2014;0.phys,1.phys.meca,2.phys.meca.mefl;;;https://hal.archives-ouvertes.fr/hal-01871782
10.1017/jfm.2019.86;D. Krishna Raja,Shyama Prasad Das,Emil J. Hopfinger;On standing gravity wave-depression cavity collapse and jetting;;Journal of Fluid Mechanics;10/05/2019;;;0.phys,0.phys,1.phys.meca;;;https://hal.archives-ouvertes.fr/hal-02058327
;Vivien Aumelas,Guillaume Maj,Jean-Pierre Franc,R. Boucheron;Microbubbles seeding for optical velocity measurement (LDV and PIV): an experimental validation;;;25/01/2018;19th International Symposium on Applications of Laser and Imaging Techniques to Fluid Mechanics;16/07/2018;0.phys,1.phys.meca,2.phys.meca.mefl;;;https://hal.archives-ouvertes.fr/hal-01693058
10.1017/jfm.2017.903;Raphaël Maurin,Julien Chauchat,Philippe Frey;Revisiting slope influence in turbulent bedload transport: consequences for vertical flow structure and transport rate scaling;;Journal of Fluid Mechanics;25/03/2018;;;0.phys,1.phys.meca,2.phys.meca.mefl;Granular media,Particle/fluid flow,Sediment transport,Bedload transport,Slope;;https://hal.archives-ouvertes.fr/hal-01937895
10.1017/jfm.2018.1020;Natalia Shmakova,Jan-Bert Flór;Nonlinear aspects of focusing internal waves;;Journal of Fluid Mechanics;10/03/2019;;;0.phys,0.sdu,0.sdu,1.sdu.ocean;Wave focusing,Internal waves,Ocean mixing;;https://hal.archives-ouvertes.fr/hal-02045993
;Morgane Bellec,Nicolas Luchier,Guillaume Balarac,Ulrich Bieder,Alain Girard;Numerical study of the cryogenic cooling of amplifiers for high power lasers;;;09/09/2019;The 14th International Conference on Heat Transfer, Fluid Mechanics and Thermodynamics (HEFAT);22/07/2019;0.phys,1.phys.meca,2.phys.meca.mefl,0.phys,1.phys.meca,2.phys.meca.ther;;;https://hal.archives-ouvertes.fr/hal-02281379
;Rémi Chassagne,Raphaël Maurin,Julien Chauchat,Philippe Frey;Discrete element simulations and continuous modeling of vertical size-segregation in bedload transport;;;10/12/2018;AGU;10/12/2018;0.phys,1.phys.phys,2.phys.phys.phys-geo-ph,0.phys,1.phys.meca;;;https://hal.archives-ouvertes.fr/hal-02001392
10.1017/jfm.2018.272;Peter D. Huck,Colin Bateson,Romain Volk,Alain H. Cartellier,Mickaël Bourgoin,Alberto Aliseda;The role of collective effects on settling velocity enhancement for inertial particles in turbulence;;Journal of Fluid Mechanics;10/07/2018;;;0.phys,1.phys.meca,2.phys.meca.mefl,0.phys,1.phys.phys,2.phys.phys.phys-flu-dyn;Inertial particles,Turbulence,Clustering,Multiphase flows,Settling velocity;;https://hal.archives-ouvertes.fr/hal-01902074
10.1017/jfm.2019.936;Marie Rastello,Jean-Louis Marié;Wake behind contaminated bubbles in a solid-body rotating flow;;Journal of Fluid Mechanics;10/02/2020;;;0.phys,1.phys.meca,2.phys.meca.mefl;;;https://hal.archives-ouvertes.fr/hal-02345117
10.1016/j.jmps.2019.103749;Shrey Joshi,Jean-Pierre Franc,Giovanni Ghigliotti,Marc C. Fivel;Bubble collapse induced cavitation erosion: Plastic strain and energy dissipation investigations;;Journal of the Mechanics and Physics of Solids;2020-01;;;0.phys,1.phys.meca,2.phys.meca.mefl,0.phys,1.phys.meca,2.phys.meca.mema;Cavitation erosion,Fluid-structure Interaction,Plastic strain energy dissipation,Strain rate effects,Stand-off distance;;https://hal.archives-ouvertes.fr/hal-02318089
10.1017/jfm.2018.167;Jean-Philippe Matas,Antoine Delon,Alain H. Cartellier;Shear instability of an axisymmetric air–water coaxial jet;;Journal of Fluid Mechanics;25/05/2018;;;0.phys,1.phys.meca,2.phys.meca.mefl;Absolute/convective instability,Gas/liquid flow,Shear layers;;https://hal.archives-ouvertes.fr/hal-01744564
10.1016/j.jmps.2018.12.016;Shrey Joshi,Jean-Pierre Franc,Giovanni Ghigliotti,Marc C. Fivel;SPH modelling of a cavitation bubble collapse near an elasto-visco-plastic material;;Journal of the Mechanics and Physics of Solids;2019-04;;;0.phys,1.phys.meca,2.phys.meca.mefl,0.phys,1.phys.meca,2.phys.meca.mema;Smoothed Particle Hydrodynamics,Cavitation erosion,Fluid structure Interaction,Plastic strain,Inertial effects,Strain rate effects;;https://hal.archives-ouvertes.fr/hal-01982847
